Date,CumulativeRainfall,CumNet,Plot.No,Irrigated.After,Mean.VWC,nextVWC_Observation,daysUntilNextObservation,CWB,NonZeroRain,CRain,CET,CIrr
2022-07-01,3.64,-4.92,101,No,0.401822917,0.40796875,3,0.22999999999999954,TRUE,0.6000000000000001,-0.37000000000000055,0
2022-07-01,3.64,-4.92,102,No,0.364625,0.363479167,3,0.22999999999999954,TRUE,0.6000000000000001,-0.37000000000000055,0
2022-07-01,3.64,-4.92,103,No,0.36990625,0.370135417,3,0.22999999999999954,TRUE,0.6000000000000001,-0.37000000000000055,0
2022-07-01,3.64,-4.92,104,No,0.34903125,0.350572917,3,0.22999999999999954,TRUE,0.6000000000000001,-0.37000000000000055,0
2022-07-01,3.64,-4.92,105,No,0.316385417,0.316166667,3,0.22999999999999954,TRUE,0.6000000000000001,-0.37000000000000055,0
2022-07-01,3.64,-4.92,106,No,0.31484375,0.314229167,3,0.22999999999999954,TRUE,0.6000000000000001,-0.37000000000000055,0
2022-07-01,3.64,-4.92,201,No,0.405770833,0.406552083,3,0.22999999999999954,TRUE,0.6000000000000001,-0.37000000000000055,0
2022-07-01,3.64,-4.92,202,No,0.361760417,0.36375,3,0.22999999999999954,TRUE,0.6000000000000001,-0.37000000000000055,0
2022-07-01,3.64,-4.92,203,No,0.36371875,0.363885417,3,0.22999999999999954,TRUE,0.6000000000000001,-0.37000000000000055,0
2022-07-01,3.64,-4.92,204,No,0.368479167,0.368958333,3,0.22999999999999954,TRUE,0.6000000000000001,-0.37000000000000055,0
2022-07-01,3.64,-4.92,205,No,0.361447917,0.359729167,3,0.22999999999999954,TRUE,0.6000000000000001,-0.37000000000000055,0
2022-07-04,4.24,-4.69,101,No,0.40796875,0.388322917,2,-0.27999999999999936,FALSE,0,-0.27999999999999936,0
2022-07-04,4.24,-4.69,102,No,0.363479167,0.342458333,2,-0.27999999999999936,FALSE,0,-0.27999999999999936,0
2022-07-04,4.24,-4.69,103,No,0.370135417,0.348135417,2,-0.27999999999999936,FALSE,0,-0.27999999999999936,0
2022-07-04,4.24,-4.69,104,No,0.350572917,0.339875,2,-0.27999999999999936,FALSE,0,-0.27999999999999936,0
2022-07-04,4.24,-4.69,105,No,0.316166667,0.284489583,2,-0.27999999999999936,FALSE,0,-0.27999999999999936,0
2022-07-04,4.24,-4.69,106,No,0.314229167,0.283020833,2,-0.27999999999999936,FALSE,0,-0.27999999999999936,0
2022-07-04,4.24,-4.69,201,No,0.406552083,0.390604167,2,-0.27999999999999936,FALSE,0,-0.27999999999999936,0
2022-07-04,4.24,-4.69,202,No,0.36375,0.341052083,2,-0.27999999999999936,FALSE,0,-0.27999999999999936,0
2022-07-04,4.24,-4.69,203,No,0.363885417,0.334666667,2,-0.27999999999999936,FALSE,0,-0.27999999999999936,0
2022-07-04,4.24,-4.69,204,No,0.368958333,0.337072917,2,-0.27999999999999936,FALSE,0,-0.27999999999999936,0
2022-07-04,4.24,-4.69,205,No,0.359729167,0.33765625,2,-0.27999999999999936,FALSE,0,-0.27999999999999936,0
2022-07-04,4.24,-4.69,206,No,0.367447917,0.346947917,2,-0.27999999999999936,FALSE,0,-0.27999999999999936,0
2022-07-04,4.24,-4.69,301,No,0.411479167,0.392677083,2,-0.27999999999999936,FALSE,0,-0.27999999999999936,0
2022-07-04,4.24,-4.69,302,No,0.388583333,0.367489583,2,-0.27999999999999936,FALSE,0,-0.27999999999999936,0
2022-07-04,4.24,-4.69,303,No,0.392479167,0.363979167,4,-0.4399999999999995,TRUE,0.10999999999999943,-0.5499999999999989,0
2022-07-04,4.24,-4.69,304,No,0.379375,0.357989583,2,-0.27999999999999936,FALSE,0,-0.27999999999999936,0
2022-07-04,4.24,-4.69,305,No,0.371052083,0.345802083,2,-0.27999999999999936,FALSE,0,-0.27999999999999936,0
2022-07-04,4.24,-4.69,306,No,0.387052083,0.367291667,2,-0.27999999999999936,FALSE,0,-0.27999999999999936,0
